"Name","Manufacturer","Quantity","RefDes","Value"
"CAP_1206","","2","C1, C9","10uF"
"CAP_1206","","2","C2, C4","22pF"
"CAP_1206","","2","C3, C10","100nF"
"CAP200","","1","C5","0.1uF"
"CAP100RP","","1","C6","100uF"
"CAP300RP","","1","C7","1000uF"
"CAP_1206","","1","C8","0.1uF"
"1N4001","","4","D1, D2, D3, D4",""
"LED-5R_Red","Kingbright","3","D5, D6, D7","5mm Round"
"SA56-11EWA","","8","DS0, DS1, DS2, DS3, DS4, DS5, DS6, DS7",""
"644456-6","TE Connectivity","1","J1",""
"2 pin 2.54mm Term Block","","4","J2, J3, J4, J6",""
"OSTTA020161B","On Shore Technology","1","J5",""
"644456-3","TE Connectivity","1","J7",""
"RES_1206","","1","R1","60k"
"RES400","","4","R2, R3, R4, R6","220R"
"RES_1206","","1","R5","10k",
"B3F-1000","OMRON","3","S1, S2, S3",""
"ATMEGA328_PDIP28","Atmel","1","U1",""
"MAX7219CNG","Maxim","1","U2",""
"Rotary Encoder","","1","U3",""
"LM7805CT","National Semiconductor","1","U4",""
"HC49S","","1","Y1","16Mhz"
